0,1,2
32510383,-86813834,1
30468691,-87703035,1
31826055,-85166028,1
32891444,-86983385,1
33845846,-86586724,1
32142191,-85742406,0
31546733,-86713793,1
33866182,-85870970,1
32900173,-85296659,1
33977829,-85552143,1
32723537,-86875759,1
32210259,-88065479,1
31745135,-87769476,1
33180820,-85941752,1
33565683,-85382010,1
31238943,-86124023,1
34666040,-87749232,1
31371175,-87298377,1
32775220,-86121600,1
31022268,-86629331,1
31706155,-86371489,1
34258747,-86925471,1
31574779,-85536957,1
32323895,-86864580,0
32562179,-86099371,1
31216132,-87461537,1
34056618,-86275434,1
33889566,-87696401,1
34467520,-87647762,1
31071810,-86113647,1
32610762,-87844122,0
32755975,-87705829,0
31501042,-85113506,1
31252306,-85264387,1
34839084,-85619582,1
33544622,-86929208,0
33732286,-88086009,1
34925311,-87991142,1
34633251,-87418659,1
32681539,-85565954,1
34774907,-87030479,1
32294321,-86647119,0
32536635,-85697354,0
34733898,-86645592,1
32302397,-87678612,0
34062000,-87814078,1
34209898,-86343937,1
30666959,-88226989,1
31808458,-87316372,1
32233377,-86208528,0
34541985,-86687136,1
32446243,-87503256,0
33314928,-88042923,1
31816474,-85964713,1
33351626,-85372497,1
32257831,-85129772,0
33381339,-86704571,1
32444907,-88193305,0
33486183,-85920854,1
32900767,-85822787,1
33226133,-87225842,1
33793322,-87440648,1
31406683,-88175846,1
32019980,-87054284,0
34093409,-87600815,1
35237487,-109522950,0
31880077,-109754263,1
35630842,-112052427,0
33741518,-110860653,1
32850436,-109746133,1
33102464,-109271169,1
33276539,-112187170,1
34849946,-114591728,1
35285746,-110288704,1
32071764,-110859106,0
32620892,-110599242,1
34706724,-112397730,1
32751632,-114074901,1
34079836,-91227608,1
33151992,-91559968,1
36236380,-92372635,1
36384794,-94449942,1
36148259,-92989569,1
33573602,-92097852,1
33535994,-92543915,1
36466366,-93370349,1
33331905,-91297702,0
34055486,-93189406,1
36429663,-90692099,1
35570591,-91929979,1
33900651,-92131777,1
33112208,-93322254,1
35244463,-92614982,1
35842196,-90673464,1
35494412,-94318648,1
35343902,-90297822,0
35274844,-90798946,1
33914288,-92853193,1
33818318,-91214054,0
33747125,-91490123,1
35187728,-92449953,1
35405649,-93909428,1
36392508,-91939420,1
34574419,-92857840,1
34306936,-92398709,1
36041332,-90671802,1
33776095,-93713625,1
34395880,-92851558,1
34294469,-94095969,1
35762212,-91531986,1
36064329,-91944673,1
35715280,-91173296,1
34429059,-92059863,0
35634994,-93445104,1
33343809,-93505730,1
35953043,-91283897,1
34791849,-90935139,0
33978738,-91699077,1
33857142,-94374800,1
35291693,-93889921,1
34988267,-91905266,1
36033601,-93704255,1
36254905,-92688068,1
33431043,-93876485,1
35843919,-90180600,1
34670187,-91224126,1
34673248,-93530270,1
33700820,-93294126,1
36098936,-92961082,1
33460530,-93011863,1
35025904,-92786535,1
34530216,-90681442,0
34146678,-93653733,1
35611992,-90873808,1
34307662,-94361570,1
35232993,-93026834,1
34577224,-91463319,1
34751918,-92392487,0
36445330,-91054035,1
34469233,-92658212,1
34908133,-94089381,1
35916744,-92681408,1
35096272,-94349565,1
33967541,-94194636,1
36066371,-91642030,1
35918960,-92127207,1
33198024,-92528910,1
35577270,-92545572,1
35862402,-94106004,1
35203213,-91606367,1
35179148,-91259428,1
35030397,-93303203,1
37866825,-122253582,0
38771319,-119832669,0
38437001,-120845706,1
39995078,-121479360,1
38390344,-120490831,1
39142737,-122243739,1
37777208,-121955399,0
41925977,-124159812,1
38898142,-119998419,1
36746375,-119639658,0
39519386,-122292996,1
40479490,-123847878,0
32981774,-114685417,0
36229962,-117955189,1
35294405,-118905173,1
36189441,-119851865,1
39185033,-122965163,0
40303792,-121022584,1
33786594,-118298662,0
37274585,-119540624,1
38117269,-122568442,0
37637910,-119694652,1
39947575,-123686938,0
37411145,-120552710,0
41232908,-120507888,1
38617086,-119506094,0
36797555,-121760660,0
38416110,-122361587,0
39265990,-120641450,0
33640302,-117769442,0
39222600,-120068988,1
40023490,-120798610,1
33752886,-116055617,0
38377411,-121444429,0
36761702,-121274795,0
34839964,-115967051,0
32751575,-117191848,0
37784827,-122727802,0
38189865,-121450953,0
35347065,-120455345,0
37534736,-122325880,0
34674436,-120111465,0
37189396,-121705327,0
37052970,-121949418,0
40704337,-122387808,1
39582462,-120371073,1
41935190,-121588650,1
38348960,-121908324,0
38717318,-123463976,0
37603960,-120937052,0
39130338,-121737911,1
39927203,-122025047,1
40704907,-122956559,1
36444195,-119471745,1
38085837,-120176042,1
34032383,-119134300,0
38835384,-122057921,0
39577329,-121101562,1
39879235,-104883581,0
37631025,-105773133,0
39738752,-104408349,0
37270438,-107093153,1
37368042,-102265146,1
38085032,-102886910,1
40177043,-105275045,0
38471892,-106097284,1
38804111,-103079761,1
39699631,-105750740,0
37255221,-105848097,1
37202995,-105418718,0
38315371,-103599555,1
38121657,-105147660,1
38877198,-107609167,1
39738752,-104408349,0
37690498,-108032410,1
39347863,-104994708,1
39624171,-106497314,0
39208696,-104070186,1
38824690,-104562027,1
38358421,-105106881,1
39502817,-107665664,1
39883804,-105548200,0
39949118,-105816439,1
38988409,-107231438,0
38026256,-107276581,1
37646467,-104779815,1
40678825,-106249045,1
39356599,-105313600,0
38441431,-102604797,1
39311151,-102742290,1
39151466,-106422616,0
37092605,-108125194,0
40628112,-105569245,0
37190046,-104795074,1
39316540,-103588908,1
40715081,-103211191,1
39165152,-108076508,1
37761293,-106981852,1
40997896,-107338770,1
37508114,-108744007,1
38192224,-108415514,1
40415193,-103610575,1
38054962,-103619493,1
38177464,-107727360,0
38980056,-105514472,1
40610554,-102472203,1
39283116,-106898514,0
38189902,-102705397,1
37936061,-104874843,1
39936331,-108650793,1
37638307,-106597775,1
40438195,-107277181,0
38403295,-106416083,0
37848391,-107680381,0
37983589,-107956606,0
40875703,-102440230,1
39764692,-106221139,0
39036350,-105155970,1
39684772,-102990380,1
40735758,-103997391,1
39664421,-102546469,1
41308873,-73363661,0
41604786,-72871945,0
41733106,-73135499,1
41491016,-73052965,0
41464758,-72127301,0
41896623,-72262236,0
41744527,-71913339,1
39072390,-75571073,1
39734792,-75624617,0
38550784,-75330307,1
29796800,-82156228,0
30291034,-82334017,1
30383156,-85515060,1
29905008,-82298477,1
27867945,-80541647,1
26145724,-80448254,0
30403984,-85161075,1
27001845,-82018382,1
28859286,-82508694,1
29813555,-81946556,1
26143260,-81389124,1
30211903,-82626332,1
29329518,-83139957,1
30614280,-87275772,1
29486141,-81204491,1
29745526,-85023947,1
30549676,-84606864,0
29674633,-82811678,1
26946449,-81309114,1
30025584,-85215173,1
30386063,-82773890,1
27457687,-81721609,1
26763312,-81438833,1
28643640,-82263836,1
